"position","team_name","matches_played","won","drawn","defeated","goals_scored","goals_conceded","goal_difference","points"
"1","Manchester City","36","27","5","4","90","26","64","86"
"2","Arsenal","36","24","6","6","81","28","53","78"
"3","Manchester United","36","22","6","8","49","13","36","72"
"4","Newcastle United","36","17","14","5","64","22","42","65"
"5","Liverpool","36","18","9","9","64","22","42","63"
"6","Brighton & Hove Albion","36","17","8","11","60","21","39","59"
"7","Aston Villa","36","17","7","12","41","12","29","58"
"8","Brentford","36","14","13","9","50","21","29","55"
"9","Tottenham Hotspur","36","16","6","14","48","19","29","54"
"10","Fulham","36","15","6","15","42","19","23","51"
"11","Crystal Palace","36","11","12","13","35","17","18","45"
"12","Wolverhampton Wanderers","36","11","8","17","23","8","15","41"
"13","Chelsea","36","10","11","15","31","15","16","41"
"14","West Ham United","36","11","7","18","33","11","22","40"
"15","Everton","36","8","12","16","27","14","13","36"
"16","Nottingham Forest","36","8","11","17","27","17","10","35"
"17","AFC Bournemouth","36","9","6","21","23","12","11","33"
"18","Leicester City","36","8","6","22","30","11","19","30"
"19","Leeds United","36","6","10","20","28","19","9","28"
"20","Southampton","36","6","7","23","23","17","6","25"
